%% LaTeX2e file `div_ciu_oscar_extrapolated.data'
%% generated by the `filecontents' environment
%% from source `ThiagoRibeiroTCC' on 2015/12/02.
%%
# MOPS  Power [mW]
1 66.52
2 75.22
3 66.03
4 65.50
5 73.69
6 65.50
7 68.65
8 66.52
9 66.99
10 67.12
